Beef;Animal Protein;2;2;2;0;-2;-2;0;2
Pork;Animal Protein;0;2;2;2;-2;-2;-2;-2
Chicken & Poultry;Animal Protein;1;0;-2;-2;-2;-2;2;2
Lamb & Goat;Animal Protein;1;0;-2;-2;-2;-2;2;2
Milk (Cold/Warm) Dairy Products;Animal Protein;1;1;1;1;-2;-2;0;0
Butter;Animal Protein;1;1;1;0;-2;-2;0;1
Cheese;Animal Protein;1;1;1;1;-1;-1;0;0
Egg York;Animal Protein;1;1;1;0;-1;-1;1;1
Egg White;Animal Protein;0;0;1;1;1;1;0;0
Salt Water Fish;Animal Protein;-2;-2;1;1;2;2;0;-1
Fresh Water Fish;Animal Protein;0;0;1;0;-2;-2;0;0
Clams;Animal Protein;-2;-2;1;1;2;2;-1;-2
Oyster;Animal Protein;-2;-2;1;1;1;0;-2;-2
Shell Fish (Crab, Lobster);Animal Protein;-2;-2;1;1;1;1;-2;-2
Ocean Fish (scales);Animal Protein;-2;-2;1;1;2;2;1;-1
Ocean Fish (w/o scales);Animal Protein;-2;-2;0;0;1;1;-1;-1
Swell fish (Monk Fish);Animal Protein;-2;-2;2;2;1;1;-2;-2
Beans;Vegetable Protein;1;1;1;0;-2;-2;1;1
Soybeans;Vegetable Protein;1;1;1;0;-2;-2;1;1
Pea, Kidney Bean;Vegetable Protein;1;1;1;1;1;1;1;1
Red Bean;Vegetable Protein;-2;1;1;1;1;1;-2;-2
Fermanted Soybean (Natto);Vegetable Protein;1;1;1;0;-2;-2;0;1
Peanut, Almond, Cashew Nut);Vegetable Protein;1;1;1;1;-2;-2;1;1
Pistachios, Pecan, Pinenut;Vegetable Protein;1;1;-1;-2;-2;-2;1;1
Acorn;Vegetable Protein;1;1;-1;-1;-2;-2;1;1
Bean Paste (fermented);Vegetable Protein;2;2;2;1;1;1;1;2
Soy Milk;Vegetable Protein;1;1;1;0;-2;-2;0;0
Tofu;Vegetable Protein;1;1;1;1;1;1;1;1
Rice (white);Carbohydrates: Grains;1;1;1;1;2;2;1;1
Brown Rice ;Carbohydrates: Grains;1;0;-2;-2;-1;-1;1;1
Sweet Rice ;Carbohydrates: Grains;1;-1;-2;-2;-1;0;1;1
Barley;Carbohydrates: Grains;-1;0;1;0;0;0;-2;-2
Buckwheat ;Carbohydrates: Grains;-1;-1;1;1;1;1;0;-1
African/Indian Millet ;Carbohydrates: Grains;1;1;0;0;-1;-1;1;0
Millet: Setaria italica;Carbohydrates: Grains;0;0;1;1;1;1;-1;-1
Mung Bean;Carbohydrates: Grains;0;0;1;1;1;1;0;0
Corn;Carbohydrates: Grains;1;1;0;0;0;0;1;1
Wheat Products ;Carbohydrates: Grains;2;2;1;0;-2;-2;0;1
Job's Tears;Carbohydrates: Grains;1;2;0;0;-2;-2;0;0
Crusted Rice (Boiled);Carbohydrates: Grains;1;0;-1;-1;0;1;1;1
